Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Templar,Justoza S 5/50,composition,What is the composition of Justoza S 5/50 tablet?,,,,
Templar,Justoza S 10/100,mrp,What is the MRP and pack size of Justoza S 10/100?,,,,
Templar,Justoza S,dosage,What is the recommended dosage for Justoza S?,,,,
Templar,Justoza S,indication,In which patients is Justoza S indicated?,,,,
Templar,OXRA S,competitor table lookup,"According to the competitors table, what are the company name and prices for both 5/50 SKU and 10/100 SKU of OXRA S?",,,,
Templar,Corabrad,composition,What is the composition and strength of Corabrad 5 mg tablet?,,,,
Templar,Corabrad OD,dosage,What is the recommended dosing frequency for Corabrad OD?,,,,
Templar,Corabrad,indication,For which patients is Corabrad indicated in HFrEF and CCS according to the brand snapshot?,,,,
Templar,Corabrad OD,USP,What formulation-related USP is stated for Corabrad OD?,,,,
Templar,Corabrad 5,MRP/pack size,What are the pack size and MRP of Corabrad 5?,,,,
Templar,Eplebless 25,composition,What is the composition strength of Eplebless 25 tablet?,,,,
Templar,Eplebless 25,mrp,What is the MRP and pack size of Eplebless 25?,,,,
Templar,Eplebless 50,composition,What is the composition strength of Eplebless 50 tablet?,,,,
Templar,Eplebless 50,mrp,What is the MRP and pack size of Eplebless 50?,,,,
Templar,Eplebless,dosage,What is the recommended dosage regimen for Eplebless in HFrEF and post-MI patients?,,,,
Templar,Eplebless T 10mg,composition,What is the composition of Eplebless T 10mg?,,,,
Templar,Eplebless T 20mg,composition,What is the composition of Eplebless T 20mg?,,,,
Templar,Eplebless T 10mg,mrp,What is the MRP and pack size of Eplebless T 10mg?,,,,
Templar,Eplebless T 20mg,mrp,What is the MRP and pack size of Eplebless T 20mg?,,,,
Templar,Eplebless T,indication,What are the indicated patients for Eplebless T?,,,,
Templar,Gudpres-AM 25,composition,What is the composition of Gudpres-AM 25?,,,,
Templar,Gudpres-AM 50,composition,What is the composition of Gudpres-AM 50?,,,,
Templar,Gudpres-AM,indication,What is the indication mentioned for Gudpres-AM?,,,,
Templar,Gudpres-AM,dosage,What is the recommended dosage for Gudpres-AM?,,,,
Templar,Gudpres-AM 25,MRP/pack size,What are the pack size and MRP of Gudpres-AM 25?,,,,
Templar,Gudpres-ER 25,composition,What is the composition of Gudpres-ER 25 tablet?,,,,
Templar,Gudpres-ER 50,mrp,What is the MRP of Gudpres-ER 50 for a strip of 10 tablets?,,,,
Templar,Gudpres-ER,indication,What is the stated indication for Gudpres-ER?,,,,
Templar,Gudpres-ER,dosage,What is the recommended initial dosage and maximum uptitrated dose for Gudpres-ER in hypertension?,,,,
Templar,MET XL,competitor table lookup,"According to the competitor table, which company markets MET XL and what are its 25 mg and 50 mg SKU MRPs?",,,,
Templar,Bisonicus-T,composition,What are the two compositions listed for Bisonicus-T under 'Composition (Each SKU)'?,,,,
Templar,Bisonicus-T,indication,For which patient group is Bisonicus-T indicated?,,,,
Templar,Bisonicus-T,dosage,What is the recommended dosage for Bisonicus-T?,,,,
Templar,Bisonicus-T 2.5,mrp,What are the pack size and MRP for Bisonicus-T 2.5?,,,,
Templar,Bisonicus-T 5,mrp,What are the pack size and MRP for Bisonicus-T 5?,,,,
Templar,Justoza 5,composition,What is the composition strength of Justoza 5?,,,,
Templar,Justoza 10,MRP,What is the MRP of Justoza 10 for a strip of 15 tablets?,,,,
Templar,Justoza,dosage,What is the recommended dosage for Justoza?,,,,
Templar,Justoza,indication,In which patient groups is Justoza indicated according to the brand snapshot?,,,,
Templar,FORXIGA,table lookup,"According to the competitors table, what are the company name, 10 mg SKU pack, and MRP for FORXIGA?",,,,
Templar,Justoza GM,indication,What is the indicated patient group for Justoza GM?,,,,
Templar,JUSTOZA-GM 1,composition,What is the composition of JUSTOZA-GM 1 tablet?,,,,
Templar,JUSTOZA-GM 2 FORTE,MRP,What is the MRP and pack size of JUSTOZA-GM 2 FORTE?,,,,
Templar,Justoza GM,dosage,What is the recommended dosage for Justoza GM?,,,,
Templar,GEMER DAPA,competitor price,"According to the competitor table, what is the price of GEMER DAPA for GM 2 Comp?",,,,
Templar,Justoza M 5/500,composition,What is the composition of Justoza M 5/500 tablet?,,,,
Templar,Justoza M 10/1000,mrp,What is the MRP and pack size of Justoza M 10/1000?,,,,
Templar,Justoza M,indication,What is the indicated use of Justoza M according to the brand snapshot?,,,,
Templar,Justoza M,dosage,What is the recommended dosage for Justoza M?,,,,
Templar,XIGDUO,table lookup,"According to the competitors table, what is the listed price of XIGDUO for the 10/500 SKU?",,,,
Templar,Bisonicus 2.5,composition,What is the composition strength of Bisonicus 2.5 tablet?,,,,
Templar,Bisonicus 5,mrp,What is the MRP and pack size of Bisonicus 5?,,,,
Templar,Bisonicus,indication,For which patient group is Bisonicus indicated?,,,,
Templar,Bisonicus,dosage,What is the recommended dosage frequency for Bisonicus 2.5 mg and 5 mg?,,,,
Templar,CONCOR,table lookup,"Which company markets CONCOR, and what are the 2.5 mg and 5 mg SKU MRPs with pack size?",,,,
Templar,Justoza B 2.5,composition,What is the composition of Justoza B 2.5 tablet?,,,,
Templar,Justoza B 5,MRP,What is the MRP of Justoza B 5 for a strip of 10 tablets?,,,,
Templar,Justoza B,indication,In which patients is Justoza B indicated?,,,,
Templar,Justoza B,dosage,What is the recommended dosage for Justoza B?,,,,
Templar,Corbis D,competitor table lookup,"According to the competitors table, what are the company name and the 5mg SKU MRP for Corbis D?",,,,
Templar,Justoza SM 500,composition,What is the composition of Justoza SM 500 tablet?,,,,
Templar,Justoza SM 1000,composition,What is the composition of Justoza SM 1000 tablet?,,,,
Templar,Justoza SM,indication,What is the indicated patient group for Justoza SM?,,,,
Templar,Justoza SM,dosage,What is the recommended dosage for Justoza SM?,,,,
Templar,Justoza SM 500,MRP/pack size,What are the pack size and MRP of Justoza SM 500?,,,,
