Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Victrix,Flokind D,composition,What is the composition of Flokind D per tablet/SKU?,,,,
Victrix,Flokind D,indication,For what indication is Flokind D recommended in the brand snapshot?,,,,
Victrix,Flokind D,dosage,What is the recommended dosage and administration for Flokind D?,,,,
Victrix,Flokind D,pack size,What is the pack size mentioned for Flokind D?,,,,
Victrix,Flokind D,mechanism,What is the mechanism of action of tamsulosin in Flokind D?,,,,
Victrix,Flokind D,mechanism,How does dutasteride in Flokind D help in Benign Prostatic Hyperplasia (BPH)?,,,,
Victrix,Flokind D,mrp,What is the MRP per tablet of Flokind D in the competitor comparison table?,,,,
Victrix,Flokind D,company,Which company is listed for Flokind D in the competitor comparison table?,,,,
Victrix,Flokind F,composition,What is the composition of Flokind F per tablet/SKU?,,,,
Victrix,Flokind F,indication,What are the indicated uses of Flokind F?,,,,
Victrix,Flokind F,dosage,What is the recommended dosage and administration for Flokind F?,,,,
Victrix,Flokind F,mechanism,What is the mechanism of action of tamsulosin and finasteride in Flokind F?,,,,
Victrix,Flokind F,price/pack,"According to the MRP/PTR/PTS table, what are the per-tab price, pack size, MRP per strip, PTR per strip, and PTS per strip for Flokind F?",,,,
Victrix,Flokind Z,composition,What is the composition of Flokind Z as given for each SKU?,,,,
Victrix,Flokind Z,indication,What is the indicated use of Flokind Z?,,,,
Victrix,Flokind Z,dosage,What is the recommended dosage and administration for Flokind Z?,,,,
Victrix,Flokind Z,mechanism,What is the mechanism of action of Tamsulosin in Flokind Z?,,,,
Victrix,Flokind Z,MRP/pack,"According to the MRP/PTR/PTS table, what are the pack size and MRP per strip for Flokind Z?",,,,
Victrix,Mirablad S 25/50,composition,What is the composition of Mirablad S 25/50 as listed in the brand snapshot?,,,,
Victrix,Mirablad S 25/50,indication,What indication is mentioned for Mirablad S 25/50?,,,,
Victrix,Mirablad S 25/50,dosage,What is the recommended dosage and administration for Mirablad S 25/50?,,,,
Victrix,Mirablad-S 25,MRP,What is the MRP per strip and pack size for Mirablad-S 25?,,,,
Victrix,Mirablad-S 50,MRP,What is the MRP per strip and pack size for Mirablad-S 50?,,,,
Victrix,Mirablad 25/50,composition,What is the composition of Mirablad 25/50 as listed in the brand snapshot?,,,,
Victrix,Mirablad 25/50,indication,What indication is mentioned for Mirablad 25/50 in the document?,,,,
Victrix,Mirablad 25/50,mechanism,What is the stated mechanism of action of Mirablad 25/50?,,,,
Victrix,Mirablad 25,table lookup,"According to the MRP/PTR/PTS table, what are the pack size and MRP per strip for Mirablad 25?",,,,
Victrix,Mirablad 50,table lookup,"According to the MRP/PTR/PTS table, what are the PTR per strip and PTS per strip for Mirablad 50?",,,,
Victrix,Flokind 0.4,composition,What is the composition of Flokind 0.4 per tablet/SKU?,,,,
Victrix,Flokind 0.4,indication,What is the indicated use of Flokind 0.4?,,,,
Victrix,Flokind 0.4,dosage,What is the recommended dosage and administration for Flokind 0.4?,,,,
Victrix,Flokind 0.4,mechanism,What is the mechanism of action of Tamsulosin in Flokind 0.4?,,,,
Victrix,FLOKIND,competitor table,"According to the competitor comparison table, what is the MRP per tablet for FLOKIND and which company is it associated with?",,,,
Victrix,Silogreat D,composition,What is the composition of Silogreat D per SKU?,,,,
Victrix,Silogreat D,indication,What is the indicated use of Silogreat D?,,,,
Victrix,Silogreat D,dosage,What is the recommended dosage and administration for Silogreat D?,,,,
Victrix,Silogreat D,mrp,What is the MRP per tablet of Silogreat D?,,,,
Victrix,Silogreat 4/8,composition,What is the composition of Silogreat 4/8 as given in the brand snapshot?,,,,
Victrix,Silogreat 4/8,indication,What is the indicated use of Silogreat 4/8?,,,,
Victrix,Silogreat 4/8,dosage,What is the recommended dosage and administration for Silogreat 4/8?,,,,
Victrix,Silogreat-4,mrp,What is the MRP per strip and pack size of Silogreat-4?,,,,
Victrix,Silogreat-8,mrp,What is the MRP per strip and pack size of Silogreat-8?,,,,
Victrix,Niftikind,composition,What is the composition of Niftikind as mentioned in the brand snapshot?,,,,
Victrix,Niftikind,indication,What is Niftikind indicated for?,,,,
Victrix,Niftikind,dosage,What is the recommended dosage and administration schedule for Niftikind?,,,,
Victrix,Niftikind,pack size,What pack size is Niftikind available in for complete 7 days therapy?,,,,
Victrix,Niftikind,mrp,What are the per tablet MRP and strip MRP of Niftikind?,,,,
Victrix,Silogreat M,composition,"What is the composition of Silogreat M single bilayer tablets, including the strengths of Silodosin and Mirabegron mentioned in the document?",,,,
Victrix,Silogreat M,indication,What is Silogreat M indicated for according to the brand snapshot?,,,,
Victrix,Silogreat M,dosage,What is the recommended dosage and administration for Silogreat M?,,,,
Victrix,Silogreat-M25,MRP/PTR/PTS,"What are the per-tab price, pack size, MRP per strip, PTR per strip, and PTS per strip for Silogreat-M25?",,,,
Victrix,Silogreat-M50,MRP/PTR/PTS,"What are the per-tab price, pack size, MRP per strip, PTR per strip, and PTS per strip for Silogreat-M50?",,,,
