Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Diacar,Glizid 40,composition,What is the composition of Glizid 40?,,,,
Diacar,Glizid 40,dosage,What is the recommended dosage for Glizid 40?,,,,
Diacar,Glizid 40,mrp,What is the MRP and pack size of Glizid 40?,,,,
Diacar,Glizid 80,composition,What is the composition of Glizid 80?,,,,
Diacar,Glizid 80,usp,What salient feature states the renal benefit associated with Glizid 80?,,,,
Diacar,Glizid 80,table lookup,Which company markets Reclide 80 mg in the competitor table for Glizid 80?,,,,
Diacar,GLIZID XR 60,composition,What is the composition of GLIZID XR 60?,,,,
Diacar,GLIZID XR 60,dosage,What is the recommended dosage for GLIZID XR 60?,,,,
Diacar,GLIZID XR 60,mrp,What is the MRP and pack size of GLIZID XR 60?,,,,
Diacar,GLIZID XR 30,usp,"According to the GUIDE Study, how does GLIZID XR 30 compare with glimepiride in hypoglycaemia?",,,,
Diacar,GLIZID-M 40/500,composition,What is the composition of GLIZID-M 40/500?,,,,
Diacar,Glizid-M,composition,What is the composition of Glizid-M?,,,,
Diacar,Glizid-M,mrp,What is the MRP and pack size of Glizid-M?,,,,
Diacar,Glizid MXR 60,composition,What is the composition of Glizid MXR 60?,,,,
Diacar,Glizid MXR 60,dosage,What is the recommended dosage for Glizid MXR 60?,,,,
Diacar,Glizid MXR 30,mrp,What is the MRP and pack size of Glizid MXR 30?,,,,
Diacar,GLIZID-M 40/500,table lookup,"In the competitor table for GLIZID-M 40/500, what are the pack size and price per strip of Reclimet?",,,,
Diacar,GLIZID-MV,composition,What is the composition of GLIZID-MV?,,,,
Diacar,GLIZID-MV,indication,What is the indication for GLIZID-MV?,,,,
Diacar,GLIZID-MV,dosage,What is the recommended dosage for GLIZID-MV?,,,,
Diacar,GLIZID TOTAL P 15,composition,What is the composition of GLIZID TOTAL P 15?,,,,
Diacar,GLIZID TOTAL P 15,indication,What is the indication for GLIZID TOTAL P 15?,,,,
Diacar,GLIZID TOTAL P 15,mrp,What is the MRP and pack size of GLIZID TOTAL P 15?,,,,
Diacar,Juslina,composition,What is the composition of Juslina Tab?,,,,
Diacar,Juslina,usp,What USP is mentioned for Juslina regarding API quality and cost?,,,,
Diacar,Juslina-M 500,composition,What is the composition of Juslina-M 500?,,,,
Diacar,Juslina-D,composition,What is the composition of Juslina-D?,,,,
Diacar,Juslina-DM 1000,mrp,"What are the pack size, price per strip, and price per tab listed for Juslina-DM 1000?",,,,
Diacar,Thyroneed DMF 50 mcg,composition,What is the composition of Thyroneed DMF 50 mcg?,,,,
Diacar,Thyroneed DMF,indication,What is the indication for Thyroneed DMF?,,,,
Diacar,Thyroneed DMF 100 mcg,mrp,What is the MRP and pack size of Thyroneed DMF 100 mcg?,,,,
Diacar,VILACT 50,composition,What is the composition of VILACT 50?,,,,
Diacar,VILACT-XR 100,dosage,What is the recommended dosage for VILACT-XR 100?,,,,
Diacar,INZOBOON 1000,composition,What is the composition of INZOBOON 1000?,,,,
Diacar,MYELOGEN FORTE,composition,What is the composition of MYELOGEN FORTE?,,,,
