Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Onco,PacliALL,composition,What is the composition of PacliALL per vial?,,,,
Onco,PacliALL,indication,What are the first-line therapy indications listed for PacliALL?,,,,
Onco,PacliALL,dosage,What is the recommended dosage of PacliALL for metastatic breast cancer?,,,,
Onco,PacliALL,mrp,What is the M.R.P. of PacliALL single dose vial?,,,,
Onco,PacliALL,usp,What infusion time comparison is given for nab paclitaxel in PacliALL versus Genexol and Nanoxel?,,,,
Onco,Kintsugi 150mg,mrp,What is the M.R.P. of Kintsugi 150mg per vial?,,,,
Onco,Kintsugi 440mg,mrp,What is the M.R.P. of Kintsugi 440mg per vial?,,,,
Onco,Kintsugi,composition,What strengths of trastuzumab injection are listed for Kintsugi?,,,,
Onco,Kintsugi,mechanism,What is the stated mechanism of action of trastuzumab for Kintsugi?,,,,
Onco,Kintsugi,indication,What indications are listed for Kintsugi?,,,,
Onco,Pertuzumab,composition,What is the composition strength and volume listed for Pertuzumab?,,,,
Onco,Pertuzumab,mechanism,Which HER2 receptor domain does Pertuzumab bind to according to the document?,,,,
Onco,Pertuzumab,dosage,What are the loading and maintenance doses recommended for Pertuzumab?,,,,
Onco,Pertuzumab,indication,What indications are listed for Pertuzumab?,,,,
Onco,Pertuzumab,mrp,What is the M.R.P. of Pertuzumab single dose vial?,,,,
Onco,Docetrust 20 mg,mrp,What is the M.R.P. of Docetrust 20 mg per vial?,,,,
Onco,Docetrust 80 mg,mrp,What is the M.R.P. of Docetrust 80 mg per vial?,,,,
Onco,Docetrust 120 mg,mrp,What is the M.R.P. of Docetrust 120 mg per vial?,,,,
Onco,Docetrust,composition,What strengths are listed for Docetaxel injections under Docetrust?,,,,
Onco,Docetrust,usp,What administration-related USP is mentioned for Docetrust?,,,,
Onco,Octjuno-20ml Inj.,mrp,What is the M.R.P. of Octjuno-20ml Inj. per vial?,,,,
Onco,Octjuno-30ml Inj.,mrp,What is the M.R.P. of Octjuno-30ml Inj. per vial?,,,,
Onco,Octjuno,composition,What strengths of octreotide acetate lyophilized depot injection are listed for Octjuno?,,,,
Onco,Octjuno,indication,What indications are listed for Octjuno?,,,,
Onco,Cancrinase,composition,What is the strength of Peg-L-Asparagenase per vial in Cancrinase?,,,,
Onco,Cancrinase,indication,For which patient population and condition is Cancrinase indicated?,,,,
Onco,Cancrinase,mrp,What is the M.R.P. of Cancrinase injection?,,,,
Onco,Dasapan 50 mg,mrp,What is the M.R.P. of Dasapan 50 mg bottle of 60 tablets?,,,,
Onco,Dasapan 70 mg,mrp,What is the M.R.P. of Dasapan 70 mg bottle of 60 tablets?,,,,
Onco,Dasapan,indication,What indications are listed for Dasapan?,,,,
Onco,Azafab,composition,What is the composition strength of Azacitidine injection in Azafab?,,,,
Onco,Azafab,mrp,What is the M.R.P. of Azafab?,,,,
Onco,Bortetrust,composition,What is the composition strength of Bortezomib in Bortetrust?,,,,
Onco,Romplio 250 mcg,mrp,What is the M.R.P. of Romplio 250 mcg per vial?,,,,
Onco,Supdeno Denosumab Injection 60mg/ml,pack size,What pack presentation is available for Supdeno Denosumab Injection 60mg/ml?,,,,
