Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Transplant,ALPHADOL,composition,"What is the composition of ALPHADOL, including the strengths available for each SKU?",,,,
Transplant,ALPHADOL,indication,What are the stated indications for ALPHADOL?,,,,
Transplant,ALPHADOL,dosage,What is the recommended dosage for ALPHADOL?,,,,
Transplant,ALPHADOL,mrp,What is the M.R.P. per strip for each ALPHADOL SKU strength?,,,,
Transplant,ROCALTROL Cap,competitor table,"According to the competitors table, which company markets ROCALTROL Cap and what is its listed price?",,,,
Transplant,MYCEPT Suspension,composition,What is the composition strength of MYCEPT Suspension?,,,,
Transplant,MYCEPT Suspension,indication,What is the indicated use of MYCEPT Suspension as stated in the document?,,,,
Transplant,MYCEPT Suspension,dosage,"What is the recommended adult dosage of MYCEPT Suspension in renal, hepatic, and cardiac transplant?",,,,
Transplant,MYCEPT Suspension,mrp/pack size,What are the pack size and M.R.P. of MYCEPT Suspension?,,,,
Transplant,CELLCEPT SUSPENSION,competitor table lookup,Which company markets CELLCEPT SUSPENSION and what price is listed for it in the competitors table?,,,,
Transplant,MYCEPT S,composition,What are the tablet strengths available for MYCEPT S?,,,,
Transplant,MYCEPT S,indication,What is the indicated use of MYCEPT S as stated in the document?,,,,
Transplant,MYCEPT S,dosage,What is the recommended dose and administration timing for mycophenolic acid in MYCEPT S?,,,,
Transplant,MYCEPT S,mechanism,How is mycophenolate sodium in MYCEPT S described in relation to mycophenolic acid and mycophenolate mofetil?,,,,
Transplant,MYCEPT S,MRP,"What is the M.R.P. per strip for the 180 mg, 360 mg, and 540 mg MYCEPT S SKUs?",,,,
Transplant,MYCEPT,composition,What are the strengths and dosage forms available for MYCEPT as listed in the composition section?,,,,
Transplant,MYCEPT,mechanism,What is the mechanism of action of Mycophenolate Mofetil in MYCEPT according to the document?,,,,
Transplant,MYCEPT,indication,What is the stated indication for MYCEPT in the brand snapshot?,,,,
Transplant,MYCEPT,dosage,"What is the recommended oral dosage of MYCEPT for renal transplant patients, and what pediatric dosing is mentioned for patients between 3 months to 18 years?",,,,
Transplant,MYCEPT,MRP,"What is the M.R.P. per strip for MYCEPT 250mg, 500mg, and 750mg SKUs?",,,,
Transplant,PANIMUN BIORAL,composition,What are the available capsule strengths and strip pack size for PANIMUN BIORAL?,,,,
Transplant,PANIMUN BIORAL,indication,What is the stated indication for PANIMUN BIORAL in organ transplantation?,,,,
Transplant,PANIMUN BIORAL,dosage,What initial and maintenance dose is recommended for PANIMUN BIORAL in solid organ transplant?,,,,
Transplant,PANIMUN BIORAL,mechanism,What is the mechanism of action of cyclosporine in PANIMUN BIORAL?,,,,
Transplant,PANIMUN BIORAL,MRP,"What is the M.R.P. per strip or bottle for PANIMUN BIORAL 25 mg, 50 mg, 100 mg, and 100 mg/ml oral solution?",,,,
Transplant,SEVBAIT DT,composition,What is the composition strength of SEVBAIT DT as listed for each SKU?,,,,
Transplant,SEVBAIT DT,indication,What is SEVBAIT DT indicated for?,,,,
Transplant,SEVBAIT DT,dosage,What is the recommended starting dose of SEVBAIT DT?,,,,
Transplant,SEVBAIT DT,mrp,What is the M.R.P. per strip for the 400 mg and 800 mg SKUs of SEVBAIT DT?,,,,
Transplant,ALTYSEV DT,competitor table lookup,"According to the competitors table, what company name and price are listed for ALTYSEV DT?",,,,
Transplant,VAGACYTE,composition,What is the composition and strength of VAGACYTE tablets?,,,,
Transplant,VAGACYTE,indication,What are the stated indications for VAGACYTE?,,,,
Transplant,VAGACYTE,dosage,"What is the recommended VAGACYTE dosage for kidney transplant prophylaxis, including start time and duration?",,,,
Transplant,VAGACYTE,MRP,What is the M.R.P. per strip for VAGACYTE 450 mg?,,,,
Transplant,VALGAN (4tab),competitor table lookup,"According to the competitors table, what are the company name and price listed for VALGAN (4tab)?",,,,
Transplant,ALPHADOL PLUS,composition,What is the composition and strength of ALPHADOL PLUS per capsule?,,,,
Transplant,ALPHADOL PLUS,indication,What are the indicated uses of ALPHADOL PLUS mentioned in the document?,,,,
Transplant,ALPHADOL PLUS,dosage,What is the recommended dosage for ALPHADOL PLUS?,,,,
Transplant,ALPHADOL PLUS,mrp,What is the M.R.P. per strip of ALPHADOL PLUS?,,,,
Transplant,ROCALTROL,competitor table lookup,"According to the competitor table, what is the company name and price listed for ROCALTROL Cap?",,,,
Transplant,PANGRAF,composition,"What are the Tacrolimus capsule strengths listed for PANGRAF, and what is the pack size per strip?",,,,
Transplant,PANGRAF,mechanism,What mechanism of action is described for Tacrolimus in PANGRAF?,,,,
Transplant,PANGRAF,dosage,What recommended dosage is given for PANGRAF in kidney transplant when used with MMF/IL-2 receptor antagonist?,,,,
Transplant,PANGRAF,mrp,What is the M.R.P. per strip for the 1 mg strength of PANGRAF?,,,,
Transplant,PROGRAF,competitor table,"According to the competitors table, which company is listed for PROGRAF and what price is mentioned for it?",,,,
Transplant,SIROPAN,composition,What is the composition strength of SIROPAN as listed in the brand snapshot?,,,,
Transplant,SIROPAN,indication,What is the stated indication for SIROPAN?,,,,
Transplant,SIROPAN,dosage,What loading dose and maintenance dose are recommended for SIROPAN?,,,,
Transplant,SIROPAN,MRP,What is the M.R.P. per strip for SIROPAN 1 mg?,,,,
Transplant,SIROMUS (6tab),competitor table lookup,"According to the competitors table, what is the company name and price listed for SIROMUS (6tab)?",,,,
Transplant,RENHOLD / DS,composition,What is the composition listed for RENHOLD / DS?,,,,
Transplant,RENHOLD / DS,mechanism,What is the stated MOA/role of Alpha-Ketoanalogue (AKA) for RENHOLD / DS?,,,,
Transplant,RENHOLD / DS,indication,What indication is mentioned for RENHOLD / DS?,,,,
Transplant,RENHOLD / DS,dosage,What is the recommended dosage for RENHOLD / DS?,,,,
Transplant,RENHOLD DS,MRP,What is the M.R.P. per strip for RENHOLD DS?,,,,
