Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Procare,Coloncop 1200,composition,What is the composition of Coloncop 1200 tablet?,,,,
Procare,Coloncop 1200,dosage,What is the maximum daily dose of Coloncop 1200 tablet for induction and maintenance of remission?,,,,
Procare,Coloncop 1200,MRP,What is the MRP and pack size of Coloncop 1200?,,,,
Procare,Coloncop 1200,USP,"What technology is highlighted as the unique USP of Coloncop 1200, and at what pH does it provide targeted drug release to the colon?",,,,
Procare,Coloncop 800,composition,What is the composition of Coloncop 800 tablet?,,,,
Procare,Coloncop 800,MRP,What is the MRP and pack size of Coloncop 800?,,,,
Procare,Coloncop 1gm Sachet,composition,What is the composition of Coloncop 1gm Sachet?,,,,
Procare,Coloncop 2gm Sachet,MRP,What is the MRP of Coloncop 2gm Sachet?,,,,
Procare,SUCRADAY –O,composition,What is the composition of Sucraday-O Suspension per 10 ml?,,,,
Procare,SUCRADAY –O,indication,For which conditions is SUCRADAY-O indicated?,,,,
Procare,SUCRADAY –O,dosage,"What is the recommended dosage schedule of SUCRADAY-O for 8 weeks, and what is the maintenance therapy dose?",,,,
Procare,SUCRADAY –O,USP,What brand USP of SUCRADAY-O is related to flavor and patient convenience?,,,,
Procare,SUCRADAY –O,MRP,What is the M.R.P. of SUCRADAY-O for the 200 ml pack?,,,,
Procare,Sitcom Tablet,composition,What is the composition of Sitcom Tablet?,,,,
Procare,Sitcom Tablet,indication,For which indication is Sitcom Tablet recommended?,,,,
Procare,Sitcom Tablet,dosage,What is the recommended dosage of Sitcom Tablet in post-hemorrhoidectomy?,,,,
Procare,Sitcom Tablet,MRP,What is the MRP and pack size of Sitcom Tablet?,,,,
Procare,Sitcom Forte Tablet,composition,What is the composition of Sitcom Forte Tablet?,,,,
Procare,Sitcom Forte Tablet,indication,In which condition is Sitcom Forte Tablet indicated?,,,,
Procare,Sitcom Forte Tablet,dosage,What is the recommended dosage schedule for Sitcom Forte Tablet?,,,,
Procare,Sitcom Forte Tablet,USP,What added advantage does Calcium Dobesilate provide in Sitcom Forte Tablet?,,,,
Procare,Sitcom Cream,composition,What is the composition of Sitcom Cream?,,,,
Procare,Sitcom Cream,dosage,How should Sitcom Cream be applied according to the recommended dosage?,,,,
Procare,Sitcom LD Cream,composition,What is the composition of Sitcom LD Cream?,,,,
Procare,Sitcom LD Cream,MRP,What is the MRP and pack size of Sitcom LD Cream?,,,,
Procare,Vonatime 20 mg / 10mg Tablet,composition,What is the composition of Vonatime 20 mg / 10mg Tablet for each SKU?,,,,
Procare,Vonatime 20 mg / 10mg Tablet,mechanism,What is the mechanism of action of vonoprazan in Vonatime 20 mg / 10mg Tablet?,,,,
Procare,Vonatime 20 mg / 10mg Tablet,indication,What indications are listed for Vonatime 20 mg / 10mg Tablet?,,,,
Procare,Vonatime 20 mg / 10mg Tablet,dosage,What is the recommended dosage of Vonatime 20 mg / 10mg Tablet for erosive esophagitis healing?,,,,
Procare,Vonatime 20 mg / 10mg Tablet,mrp,"What is the MRP per strip for Vonatime 20mg, and what is the pack size?",,,,
Procare,Vonatime 20 mg / 10mg Tablet,mrp,"What is the MRP per strip for Vonatime 10mg, and what is the pack size?",,,,
Procare,Hetran,competitor table lookup,"Which company markets Hetran, and what are its MRP and brand packing?",,,,
Procare,Vonalong,competitor table lookup,"Which company markets Vonalong, and what are its MRP and brand packing?",,,,
Procare,Rifastop 200mg,composition,What is the composition strength of Rifastop 200mg tablet?,,,,
Procare,Rifastop 200mg,mrp,What is the MRP per strip and pack size for Rifastop 200mg?,,,,
Procare,Rifastop 400mg,dosage,What is the recommended dosage of Rifastop 400mg in Traveler’s diarrhea?,,,,
Procare,Rifastop 550mg,indication,For which indication is Rifastop 550mg recommended in the brand snapshot?,,,,
Procare,Rifagut,table lookup,"According to the competitors table, what are the company name, MRP, and pack for Rifagut 550mg?",,,,
Procare,Adva UD,composition,What is the composition of Adva UD in each SKU?,,,,
Procare,Adva UD,indication,For which condition is Adva UD indicated?,,,,
Procare,Adva UD,dosage,What is the recommended dosage of Adva UD?,,,,
Procare,Adva UD,MRP,What is the M.R.P. per strip/bottle for the 15s Tabs Bottle of Adva UD?,,,,
Procare,Livoluk Solution,composition,What is the composition of Livoluk Solution per 15 ml?,,,,
Procare,Livoluk Solution,indication,What is the indicated use of Livoluk Solution?,,,,
Procare,Livoluk Solution,dosage,What are the initial and maintenance doses recommended for Livoluk Solution?,,,,
Procare,Livoluk Kid 60ml,MRP,What is the MRP of Livoluk Kid 60ml?,,,,
Procare,Livoluk RF Fibre,composition,What is the composition of Livoluk RF Fibre per 15 gm?,,,,
Procare,Livoluk RF Fibre,dosage,What are the initial and maintenance doses recommended for Livoluk RF Fibre?,,,,
Procare,Livoluk RF Fibre,MRP,What is the MRP of Livoluk RF Fibre 180 gm pack?,,,,
Procare,Lactifiber,table lookup,Which company markets Lactifiber and what are the listed MRP and pack sizes for it?,,,,
Procare,ODPEP D Capsule,composition,What is the composition of ODPEP D Capsule as listed in the brand snapshot?,,,,
Procare,ODPEP D Capsule,dosage,What is the recommended dosage for ODPEP D Capsule?,,,,
Procare,ODPEP D Capsule,mrp,"What is the M.R.P. per strip for ODPEP D Capsule, and what pack size is mentioned with it?",,,,
Procare,ODPEP 40 Tablet,indication,What are the indicated uses of ODPEP 40 Tablet?,,,,
Procare,ODPEP 40 Tablet,dosage,What is the recommended dosage and duration for ODPEP 40 Tablet?,,,,
Procare,ODPEP 40 Tablet,competitor table,"In the competitors table for ODPEP 40, which company markets Pantocid and what are its M.R.P. and pack size?",,,,
Procare,ODPEP IV Injection,composition,What is the composition of ODPEP IV Injection?,,,,
Procare,ODPEP-IV 40 Injection,mrp,What is the M.R.P. of ODPEP-IV 40 Injection and what pack size is mentioned with it?,,,,
Procare,Bifiota Sachets,composition,What is the composition of Bifiota Sachets per 5 gm sachet?,,,,
Procare,Bifiota Sachets,indication,For which indications is Bifiota Sachets recommended?,,,,
Procare,Bifiota Sachets,dosage,What is the recommended dosage and administration instructions for Bifiota Sachets?,,,,
Procare,Bifiota Sachets,MRP,What is the M.R.P. of Bifiota Sachets per 5 gm sachet?,,,,
Procare,Florachamp (Direct),table lookup,"According to the competitors table, what are the company name, MRP, and pack size listed for Florachamp (Direct)?",,,,
