Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Nobelis,Pio Hope 7.5mg,composition,What is the composition of Pio Hope 7.5mg?,,,,
Nobelis,Pio Hope M 15mg,composition,What are the active ingredients and strengths in Pio Hope M 15mg?,,,,
Nobelis,Pio Hope,dosage,What is the recommended dosage for Pio Hope?,,,,
Nobelis,Pio Hope 15mg,MRP,What is the M.R.P. per strip and per tablet for Pio Hope 15mg?,,,,
Nobelis,Pio Hope M 15mg,MRP,"What is the pack size, M.R.P. per strip, and M.R.P. per tablet for Pio Hope M 15mg?",,,,
Nobelis,D3 Kind,composition,What is the composition of D3 Kind?,,,,
Nobelis,D3 Kind,indication,What is D3 Kind indicated for?,,,,
Nobelis,D3 Kind,pack size/MRP,"What are the pack size, M.R.P., and M.R.P. per capsule for D3 Kind?",,,,
Nobelis,EMPAGLYDE-10,composition,What is the composition of EMPAGLYDE-10?,,,,
Nobelis,EMPAGLYDE-M 1000,composition,What are the active ingredients and strengths in EMPAGLYDE-M 1000?,,,,
Nobelis,EMPAGLYDE-L 25,mrp,What is the MRP per tablet of EMPAGLYDE-L 25 TAB?,,,,
Nobelis,EMPAGLYDE-S 10,pack size,What is the pack size and strip MRP of EMPAGLYDE-S 10 TAB?,,,,
Nobelis,EMPAGLYDE,indication,What are the listed indications for EMPAGLYDE?,,,,
Nobelis,EMPAGLYDE-M,dosage,What is the recommended dosage for EMPAGLYDE-M?,,,,
Nobelis,Nobeglar Cartridge 100 IU – 3ml and pack of 5,pack size,What pack configuration is listed for Nobeglar Cartridge 100 IU?,,,,
Nobelis,Nobeglar Uno Prefilled pen 100 IU- 3ml,composition,What strength and volume are mentioned for Nobeglar Uno Prefilled pen?,,,,
Nobelis,Nobeglar 100 IU- 5 ml vial,mrp,What is the MRP of NOBEGLAR VIAL 5 ML?,,,,
Nobelis,Nobeglar,dosage,What is the recommended dosage for Nobeglar?,,,,
Nobelis,Nobeglar,usp,"Which study is cited as proving Nobeglar equivalent to the innovator in efficacy, safety, and immunogenicity?",,,,
Nobelis,Voglistar-GM 1,composition,What is the composition of Voglistar-GM 1?,,,,
Nobelis,Voglistar-GM 2 Forte,indication,For which patients is Voglistar-GM 2 Forte indicated?,,,,
Nobelis,Voglistar-MD 0.3,mrp,What is the MRP per tablet of Voglistar-MD 0.3?,,,,
Nobelis,Voglistar-Plus 0.3,dosage,What is the recommended dosage for Voglistar-Plus?,,,,
Nobelis,Zukanorm D 10,composition,What are the active ingredients and strengths in Zukanorm D 10?,,,,
Nobelis,Zukanorm DM,indication,What is the stated indication for Zukanorm DM?,,,,
Nobelis,ZUKANORM-M 500,table lookup,"What are the pack size, MRP, and MRP per tablet for ZUKANORM-M 500?",,,,
Nobelis,Zukanorm M SR,usp,What USP is highlighted for Zukanorm M SR?,,,,
Nobelis,Pio Hope M 15mg,composition,What is the composition of Pio Hope M 15mg?,,,,
Nobelis,Pio Hope,indication,In which patients is Pio Hope indicated?,,,,
Nobelis,D3 Kind,composition,What is the composition of D3 Kind?,,,,
Nobelis,D3 Kind,pack size,What are the pack size and MRP per capsule for D3 Kind?,,,,
Nobelis,Nobegliz XR,composition,What is the composition of Nobegliz XR?,,,,
Nobelis,NOBEGLIZ-M XR,mrp,What is the MRP and MRP per tablet of NOBEGLIZ-M XR?,,,,
Nobelis,EMPAGLYDE-10,composition,What is the composition of EMPAGLYDE-10?,,,,
Nobelis,EMPAGLYDE-25,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-25 TAB 10 TAB?,,,,
Nobelis,EMPAGLYDE-M 500,indication,For which patients is EMPAGLYDE M indicated?,,,,
Nobelis,EMPAGLYDE-M 1000,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-M 1000 TAB 10 TAB?,,,,
Nobelis,EMPAGLYDE-L 10,composition,What is the composition of EMPAGLYDE-L 10?,,,,
Nobelis,EMPAGLYDE-L 25,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-L 25 TAB 10 TAB?,,,,
Nobelis,EMPAGLYDE LM 10/1000,composition,What is the composition of EMPAGLYDE LM 10/1000?,,,,
Nobelis,EMPAGLYDE LM 25/1000,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE LM 25/1000 10 TAB?,,,,
Nobelis,EMPAGLYDE-S 10,composition,What is the composition of EMPAGLYDE-S 10?,,,,
Nobelis,EMPAGLYDE-SM 25/1000 TAB,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-SM 25/1000 TAB 10 TAB?,,,,
Nobelis,Nobeglar Cartridge 100 IU – 3ml and pack of 5,pack size,What pack size is mentioned for Nobeglar Cartridge 100 IU?,,,,
Nobelis,Nobeglar Uno Prefilled pen 100 IU- 3ml,mrp,What is the new M.R.P. (incl. tax) for NOBEGLAR-UNO PREFILLED PEN 1 PACK?,,,,
Nobelis,Nobeglar 100 IU- 5 ml vial,dosage,What is the recommended dosage for Nobeglar?,,,,
Nobelis,Nobeglar Comfy Reusable Pen,mrp,What is the new M.R.P. (incl. tax) for COMFYPEN REUSABLE INSULIN PEN 1 PACK?,,,,
Nobelis,Voglistar-GM 1,composition,What is the composition of Voglistar-GM 1?,,,,
Nobelis,Voglistar-GM 2 Forte,indication,In which patients is Voglistar GM 2 Forte indicated?,,,,
Nobelis,Voglistar-MD 0.3,usp,What USP is stated for Voglistar MD regarding tablet form and flavour?,,,,
Nobelis,Voglistar-Plus 0.3,competitor,"According to the competitor table for Plus 0.3, what is the MRP of VOLIBO-M from SUN?",,,,
Nobelis,Zukanorm,composition,What is the composition of Zukanorm?,,,,
Nobelis,Zukanorm DM 1000,indication,For which patients is Zukanorm DM indicated?,,,,
Nobelis,ZUKANORM-DM 1000,mrp,"What are the pack size, MRP, and MRP per tab for ZUKANORM-DM 1000?",,,,
Nobelis,Pio Hope M 15mg,composition,What is the composition of Pio Hope M 15mg?,,,,
Nobelis,D3 Kind,dosage,What is the recommended dosage for D3 Kind?,,,,
Nobelis,Nobegliz XR,composition,What is the composition of Nobegliz XR?,,,,
Nobelis,NOBEGLIZ-M XR,mrp,"What are the pack size, MRP, and MRP per tab for NOBEGLIZ-M XR?",,,,
Nobelis,Voglistar-GM 1,composition,What is the composition of Voglistar-GM 1?,,,,
Nobelis,Voglistar-GM 2 Forte,indication,What is the indicated patient profile for Voglistar-GM 2 Forte?,,,,
Nobelis,Voglistar-MD 0.2,composition,What is the composition of Voglistar-MD 0.2?,,,,
Nobelis,Voglistar-MD 0.2,USP,What mouth-dissolving USP features are mentioned for Voglistar MD?,,,,
Nobelis,Voglistar-Plus 0.3,composition,What is the composition of Voglistar-Plus 0.3?,,,,
Nobelis,Voglistar-Plus 0.3,competitor table,"According to the Plus 0.3 brand comparison table, what is the MRP of VOBIT M from Lupin?",,,,
Nobelis,Voglistar-R 0.5/1mg,mechanism,What is the stated mechanism of action of repaglinide in Voglistar-R 0.5/1mg?,,,,
Nobelis,Voglistar-GM,USP,What brand advantages are listed for Voglistar GM under 'The Smart Caplet'?,,,,
Nobelis,EMPAGLYDE-10,composition,What is the composition of EMPAGLYDE-10?,,,,
Nobelis,EMPAGLYDE-10,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-10 TAB 10 TAB?,,,,
Nobelis,EMPAGLYDE-25,composition,What is the composition of EMPAGLYDE-25?,,,,
Nobelis,EMPAGLYDE-25,mrp,What is the new M.R.P. (incl. tax) for EMPAGLYDE-25 TAB 10 TAB?,,,,
Nobelis,EMPAGLYDE-M 500,composition,What is the composition of EMPAGLYDE-M 500?,,,,
Nobelis,EMPAGLYDE-M 500,dosage,What is the recommended dosage for EMPAGLYDE-M?,,,,
Nobelis,EMPAGLYDE-L 10,composition,What is the composition of EMPAGLYDE-L 10?,,,,
Nobelis,EMPAGLYDE-L 10,usp,What USP or brand advantage is stated for EmpaGlyde L (Empagliflozin + Linagliptin)?,,,,
Nobelis,EMPAGLYDE LM 10/1000,composition,What is the composition of EMPAGLYDE LM 10/1000?,,,,
Nobelis,EMPAGLYDE-S 10,composition,What is the composition of EMPAGLYDE-S 10?,,,,
Nobelis,EMPAGLYDE-SM 10/1000 TAB,composition,What is the composition of EMPAGLYDE-SM 10/1000 TAB?,,,,
Nobelis,EMPAGLYDE,indication,What indications are listed for EMPAGLYDE?,,,,
Nobelis,Nobeglar Cartridge 100 IU – 3ml and pack of 5,pack size,What is the pack size mentioned for Nobeglar Cartridge 100 IU – 3ml?,,,,
Nobelis,Nobeglar Cartridge 100 IU – 3ml and pack of 5,composition,What strength and volume are listed for Nobeglar Cartridge?,,,,
Nobelis,Nobeglar Cartridge 100 IU – 3ml and pack of 5,mrp,What is the new M.R.P. (incl. tax) for NOBEGLAR CARTRIDGE 3 ML?,,,,
Nobelis,Nobeglar Uno Prefilled pen 100 IU- 3ml,composition,What strength and volume are listed for Nobeglar Uno Prefilled pen?,,,,
Nobelis,Nobeglar Uno Prefilled pen 100 IU- 3ml,mrp,What is the new M.R.P. (incl. tax) for NOBEGLAR-UNO PREFILLED PEN?,,,,
Nobelis,Nobeglar Uno Prefilled pen 100 IU- 3ml,dosage form,Which dosage form is specified for Nobeglar Uno in the document?,,,,
Nobelis,Nobeglar 100 IU- 5 ml vial,composition,What strength and volume are listed for Nobeglar 5 ml vial?,,,,
Nobelis,Nobeglar 100 IU- 5 ml vial,mrp,What is the new M.R.P. (incl. tax) for NOBEGLAR INJ. 5 ML?,,,,
Nobelis,Nobeglar 100 IU- 5 ml vial,dosage form,Which dosage form is specified for Nobeglar 100 IU- 5 ml?,,,,
Nobelis,Nobeglar Comfy Reusable Pen,mrp,What is the new M.R.P. (incl. tax) for COMFYPEN REUSABLE INSULIN PEN?,,,,
Nobelis,Nobeglar Comfy Reusable Pen,pack size,What pack size is listed for COMFYPEN REUSABLE INSULIN PEN?,,,,
Nobelis,Nobeglar Comfy Reusable Pen,usp,What warranty period is offered for the Swiss-made COMFYPEN?,,,,
